name,glrm_rp,glrm_sre,glrm_lre,glrm_gln,glrm_rln,glrm_lgre,glrm_hgre,glrm_srlge,glrm_srhge,glrm_lrlge,glrm_lrhge,class
RT22_4.jpg,0.0031280517578125,1461609819.4731612,9118.312195121951,3793149.063414634,5270007.229268293,0.9285705993554494,118040.08780487804,1461609756.2801614,584412072572.1884,29.030398681590295,2886579.419512195,piso
RT22_25.jpg,0.00323486328125,1635613269.6403522,4739.353773584906,2516113.3018867923,6506465.575471698,0.9268402215287875,111963.82547169812,1635613207.7370677,644997238909.2778,16.047985686726175,1425337.0141509434,piso
RT22_15.jpg,0.002166748046875,2680422643.0594816,1722.8098591549297,4118704.6901408453,11811517.985915493,3.355846811809695,77995.76760563381,2680422536.015997,487377200600.3555,14.670185651665658,221109.45070422534,piso
RT22_24.jpg,0.0028076171875,1987608770.3583374,3516.820652173913,3627601.913043478,8293621.021739131,1.1979830393546609,120951.89673913043,1987608695.9101129,738323339680.0264,13.64022215967428,924736.9021739131,piso
RT22_40.jpg,0.0033416748046875,1486529740.6844058,6094.826484018265,3052631.97260274,5670291.497716895,0.8724763414310159,109293.22831050228,1486529680.5424097,586918423655.7043,19.738343015646887,1902666.5616438356,piso
RT22_21.jpg,0.003387451171875,1586486546.3972187,3901.3333333333335,2546839.225225225,6402568.612612613,0.917421429557745,105852.83783783784,1586486486.6769054,622019029877.7924,13.646333316024258,1134538.1306306305,piso
RT22_1.jpg,0.0029296875,1732708405.5322847,4609.333333333333,3453833.3854166665,6799048.958333333,1.1094408388269759,114248.83333333333,1732708333.5694773,625035440644705,16.65450186124048,1295608.9010416667,piso
RT22_32.jpg,0.00286865234375,1822446881.4820943,4411.755319148936,3192321.329787234,7267746.840425532,1.1041462893374325,121027.14893617021,1822446808.7447207,684921993028.2069,15.54860547269406,1273062.3617021276,piso
RT22_33.jpg,0.00311279296875,1662892221.0894728,6905.21568627451,3672251.1960784313,6501564.401960785,0.9243629271091862,120019.31862745098,1662892157.0506427,674581396021.1887,22.13095651253598,2168517.18627451,piso
RT22_35.jpg,0.003021240234375,1549040471.1346033,7735.29797979798,3401964.696969697,5702549.767676768,0.9775064761949668,120829.78787878787,1549040404.237246,611034570254.6688,25.33420453071447,2396381.722222222,piso
RT22_20.jpg,0.003387451171875,1492612674.770488,4676.621621621622,2560905.7837837837,5829466.963963964,0.8588663948837927,110430.2027027027,1492612612.7955701,603474482413.9994,14.850820725392,1506405.3648648649,piso
RT22_10.jpg,0.0033721923828125,1581810015.650846,4143.823529411765,3240695.122171946,6365138.923076923,0.8792648331232331,106423.86425339367,1581809954.9363754,611469206594.0126,13.68453032610513,1270472.0904977375,piso
RT22_31.jpg,0.003509521484375,1489000059.4563859,3789.8608695652174,2172386.295652174,5932269.356521739,0.899302737157274,97216.08260869565,1489000000.1913633,540881280625.9908,12.93147325687083,1150551.8391304347,piso
RT22_6.jpg,0.003448486328125,1561725722.8103218,3846.3893805309735,2294754.353982301,6311589.743362832,0.9268294832445232,102608.86725663717,1561725663.9078574,605297498461.2004,14.198575006993941,1067333.4867256638,piso
RT22_26.jpg,0.00335693359375,1592363699.1284113,3709.909090909091,2599402.1454545455,6454015.2727272725,0.9504047295790543,105338.32272727272,1592363636.5667853,616040885435.8392,14.187227416533473,996008.0227272727,piso
RT22_16.jpg,0.00299072265625,1764642925.2280016,6119.693877551021,4177027.9285714286,7022654.357142857,1.0110288409885995,120284.90816326531,1764642857.3534482,695575942151.5723,21.277114547171653,1773539.556122449,piso
RT22_13.jpg,0.0029144287109375,1975916304.8522978,2208.30890052356,3063951.842931937,8502041.057591623,1.1224824402002878,119907.47643979058,1975916230.6185606,752816883490.3962,8.718114035630762,576202.0104712042,piso
RT22_37.jpg,0.003753662109375,1390569159.8835828,5159.723577235773,2172191.349593496,5490803.276422764,0.7885351386586705,99140.56504065041,1390569105.8529923,560531036161.2103,16.691715816570607,1629162.487804878,piso
